1,1,0.11921,29.63
1,2,0.025947,29.63
1,3,0.062884,29.63
1,4,0.08853,29.63
1,5,0.10178,29.63
1,6,-0.38808,29.63
1,7,0.19492,29.63
1,8,0.17509,29.63
1,9,0.15603,29.63
1,10,0.085964,29.63
1,11,0.12051,29.63
5,1,0.12693,40.211
5,2,0.036842,38.89
5,3,0.30843,39.154
5,4,0.28717,41.269
5,5,0.029357,43.911
5,6,-0.056278,40.74
5,7,0.14707,40.74
5,8,0.12064,40.74
5,9,0.062225,40.74
5,10,-0.036221,41.797
5,11,0.22648,42.59
11,1,0.043851,54.894
11,2,0.10272,56.48
11,3,0.053274,56.48
11,4,0.21871,57.274
11,5,0.078368,59.26
11,6,0.093528,55.56
11,7,0.1805,55.56
11,8,0.079614,55.56
11,9,0.061555,55.56
11,10,0.08182,55.56
11,11,0.11257,62.96
16,1,0.15288,38.16
16,2,0.11351,33.403
16,3,0.16746,33.8
16,4,0.16184,33.8
16,5,0.14401,40.94
16,6,0.11171,48.15
16,7,0.11818,48.15
16,8,0.098846,48.15
16,9,0.062957,48.15
16,10,0.019436,48.15
16,11,0.023182,48.15
21,1,0.13226,50.93
21,2,0.13309,49.871
21,3,0.099721,48.15
21,4,0.15677,48.15
21,5,0.16034,48.15
21,6,0.13918,53.971
21,7,0.13401,57.41
21,8,0.11626,57.41
21,9,0.085035,56.881
21,10,0.061911,55.56
21,11,0.12407,55.56
22,1,0.11184,51.85
22,2,0.073176,51.85
22,3,0.12848,51.85
22,4,0.54691,51.85
22,5,0.26347,49.999
22,6,0.20788,38.89
22,7,0.16037,38.89
22,8,0.054022,38.89
22,9,0.076416,38.89
22,10,-0.029172,38.89
22,11,0.007381,42.59
23,1,0.20251,56.48
23,2,0.49608,56.48
23,3,0.57417,56.48
23,4,0.20399,56.48
23,5,0.094843,56.48
23,6,0.0084104,53.837
23,7,0.48582,52.78
23,8,0.65058,52.78
23,9,0.45485,52.78
23,10,0.32398,52.78
23,11,0.37553,52.78
24,1,0.038199,41.601
24,2,0.045139,38.029
24,3,0.064928,41.2
24,4,0.089415,42.721
24,5,0.098076,53.041
24,6,0.089194,53.24
24,7,0.097924,53.24
24,8,0.091901,53.24
24,9,0.069059,51.254
24,10,0.063161,56.417
24,11,0.095098,57.41
25,1,0.20691,50.93
25,2,0.20712,48.15
25,3,0.34924,50.93
25,4,0.36704,56.88
25,5,0.21655,60.849
25,6,0.14533,59.26
25,7,0.31147,58.731
25,8,0.20511,55.56
25,9,0.13097,61.509
25,10,0.057089,69.44
25,11,-0.11585,69.44
26,1,0.21903,38.89
26,2,0.31911,38.89
26,3,0.37091,40.476
26,4,0.38169,44.44
26,5,0.247,44.44
